c[0],c[1],c[2],c[3],c[4],c[5],c[6],c[7],c[8],c[9],c[10],c[11],c[12],c[13],c[14],c[15],c[16],c[17],c[18],
49.969570244463739000,2.752604555977097100,-0.498356461050447840,-0.358222905971528170,0.315862288729005350,0.257107622097534240,-0.457681751829186690,-0.110294998057298140,-0.544387662565138930,-0.240859762414144200,0.012914514756711459,0.023021985941336538,-0.024935488650039035,-0.088650818225622652,0.166945466867157800,-0.050520675050875874,-0.098345535654383698,0.033667533227998037,0.127582361997875320,
51.333126474400856000,2.639704121192610200,-0.255246277112858520,-0.100409260873027760,0.091290877959221278,0.304296411380289510,-0.386440635343296870,-0.106976970797538760,-0.705583997317504760,-0.210091377466132160,0.099990009398457702,-0.206765604035473340,0.008892149112840198,-0.011183379642776343,0.212143771827525810,-0.083636904011084146,-0.081448204515664230,0.093140548274622176,-0.014603717599715793,
54.774381055018985000,2.992329137025136400,-0.644745070664573210,-0.489033187233415490,0.189363705514895560,0.553002962798533670,-0.548152248982536780,-0.302451450072200640,-0.346195044385394280,-0.218330960213360740,0.002106295197652486,-0.104959568392047180,0.133748341648985800,-0.020823467574017651,-0.005740037150419673,0.014374548596223908,-0.033535015342670060,0.120937769264144290,0.046446724215850554,
56.882693993623931000,3.053168940121855800,-0.625894270657703980,-0.569143687593610670,0.072032373083551482,0.603458471703387510,-0.510538740699579160,-0.332126966979462200,-0.347653025458425910,-0.220641933464204690,0.038713361100932597,-0.120961857140179940,0.139735298290513120,0.016280751279119654,-0.004053983762513966,0.044191319586192879,-0.021820221873056767,0.145687132795573240,0.044672877548958878,
57.757232521939287000,3.311865773457855200,-0.936045716962658150,-0.369897056247209920,0.009828206438957099,0.508359869680207190,-0.379497861415573290,-0.532436270555987300,-0.190448733931569690,-0.274051846959748270,-0.037996942449249227,0.022128061633815213,0.044397376900719501,0.113686703974624050,-0.047314954916730712,0.004124335831252129,0.080631112698117749,0.060120769773985838,0.080026077474318891,
58.689999282640791000,2.921375334186043600,-0.830964151829962640,-0.417790860883865630,0.051515376099884880,0.505580373226061860,-0.455808270786097760,-0.378454101868850090,-0.269039204037821330,-0.254215175699719630,0.061154709097118620,-0.055489436686724153,0.045057790991391317,0.048319088476320424,-0.004086803969507058,0.082272223662857122,-0.003967526037286256,0.076691928801821158,0.098621601872736206,
58.887514696547164000,2.886782073387050400,-0.819120005194274190,-0.439622019736186860,0.161174453382203710,0.406908556604115730,-0.499408488754012670,-0.277662109691307000,-0.261870900224895120,-0.281463429835016490,-0.035241030001958773,0.001664264893367809,0.120589845659687130,-0.037235766420982641,-0.052826413853413814,0.084207942695411292,0.074231698331620133,0.094238686440701241,0.036555792867520975,
59.230935331922623000,2.741052516363335000,-0.952134420222035430,-0.436144563568957140,0.209299748457016380,0.569245797864052490,-0.563984273122134510,-0.277829041522356550,-0.189740258520270430,-0.290926467947588530,-0.053608121119333219,-0.122333710641013870,0.136368434294934730,0.008030736899849400,-0.081157655714774984,0.083031634435338647,0.039803476881770133,0.153258717641068910,0.079733520228843391,
58.785986441516251000,2.762778095587226100,-0.897997562990760830,-0.426717086015855560,0.267197485083047860,0.509950075422715530,-0.592179132539457640,-0.250781244490163590,-0.206923038531839020,-0.282288339478762860,-0.097286551585631820,-0.099299938658868436,0.165448959594446890,-0.021953874218762659,-0.080628479265459685,0.060614008154709548,0.062118184382189995,0.157007960407048480,0.057628335955836163,
58.839158459923055000,2.517967685324587800,-0.790247938866046610,-0.505912393713285220,0.358705988257666200,0.467392403229730750,-0.404140919755421550,-0.225203782966389430,-0.255556777356256980,-0.203969132630862690,-0.169422005522295360,-0.073531419796311448,0.116891933662111510,-0.002399505707765814,-0.032018422722704068,0.018869421604430753,0.125528149275810660,0.151410219030161660,0.053539650037515318,
